make_group,make,model,year_start,year_end,market,market_priority
ac,AC,Ace,1993,1996,GLOBAL,999
ac,AC,Aceca,1998,2000,GLOBAL,999
ac,AC,Frua,1966,1973,GLOBAL,999
acura,Acura,ADX,2024,,GLOBAL,999
acura,Acura,CL,1997,2004,GLOBAL,999
acura,Acura,CSX,2005,2011,GLOBAL,999
acura,Acura,EL,1997,2000,GLOBAL,999
acura,Acura,ILX,2012,2022,GLOBAL,999
acura,Acura,Integra,1986,,GLOBAL,999
acura,Acura,Legend,1986,1996,GLOBAL,999
acura,Acura,MDX,2001,,GLOBAL,999
acura,Acura,NSX,1991,2022,GLOBAL,999
acura,Acura,RDX,2006,,GLOBAL,999
acura,Acura,RL,2004,2012,GLOBAL,999
acura,Acura,RLX,2013,2020,GLOBAL,999
acura,Acura,RSX,2002,2006,GLOBAL,999
acura,Acura,RSX TYPE-S,2005,2006,GLOBAL,999
acura,Acura,SLX,1996,1999,GLOBAL,999
acura,Acura,TL,1995,2014,GLOBAL,999
acura,Acura,TLX,2015,2024,GLOBAL,999
acura,Acura,TSX,2003,2014,GLOBAL,999
acura,Acura,ZDX,2009,,GLOBAL,999
alfa-romeo,Alfa Romeo,145,1994,2000,BG,28
alfa-romeo,Alfa Romeo,146,1995,2000,BG,28
alfa-romeo,Alfa Romeo,147,2000,2009,BG,28
alfa-romeo,Alfa Romeo,155,1992,1998,BG,28
alfa-romeo,Alfa Romeo,156,1997,2005,BG,28
alfa-romeo,Alfa Romeo,156 Sportwagon,2000,2005,BG,28
alfa-romeo,Alfa Romeo,159,2005,2011,BG,28
alfa-romeo,Alfa Romeo,159 Sportwagon,2006,2011,BG,28
alfa-romeo,Alfa Romeo,164,1988,1998,BG,28
alfa-romeo,Alfa Romeo,166,1996,2007,BG,28
alfa-romeo,Alfa Romeo,2000,1971,1977,BG,28
alfa-romeo,Alfa Romeo,33,1983,1994,BG,28
alfa-romeo,Alfa Romeo,33 Sport,1988,1994,BG,28
alfa-romeo,Alfa Romeo,4C,2013,2020,BG,28
alfa-romeo,Alfa Romeo,6,1979,1986,BG,28
alfa-romeo,Alfa Romeo,75,1985,1992,BG,28
alfa-romeo,Alfa Romeo,8C,1931,2010,BG,28
alfa-romeo,Alfa Romeo,Alfasud,1972,1983,BG,28
alfa-romeo,Alfa Romeo,Alfasud Giardinetta,1975,1981,BG,28
alfa-romeo,Alfa Romeo,Alfasud Sprint,1976,1983,BG,28
alfa-romeo,Alfa Romeo,Alfasud Ti,1973,1983,BG,28
alfa-romeo,Alfa Romeo,Alfetta,1972,1984,BG,28
alfa-romeo,Alfa Romeo,Arna,1983,1987,BG,28
alfa-romeo,Alfa Romeo,Brera,2005,2010,BG,28
alfa-romeo,Alfa Romeo,Crosswagon Q4,2004,2007,BG,28
alfa-romeo,Alfa Romeo,Giulia,1962,,BG,28
alfa-romeo,Alfa Romeo,Giulia GTA,2020,,BG,28
alfa-romeo,Alfa Romeo,Giulia Quadrifoglio,2016,2022,BG,28
alfa-romeo,Alfa Romeo,Giulia Veloce,2016,2022,BG,28
alfa-romeo,Alfa Romeo,Giulietta,1954,2020,BG,28
alfa-romeo,Alfa Romeo,Giulietta Quadrifoglio Verde,2011,2016,BG,28
alfa-romeo,Alfa Romeo,GT,2003,2010,BG,28
alfa-romeo,Alfa Romeo,GTV,1995,2005,BG,28
alfa-romeo,Alfa Romeo,Junior,2024,,BG,28
alfa-romeo,Alfa Romeo,MiTo,2008,2018,BG,28
alfa-romeo,Alfa Romeo,MiTo Quadrifoglio Verde,2009,2016,BG,28
alfa-romeo,Alfa Romeo,MiTo Veloce,2016,2018,BG,28
alfa-romeo,Alfa Romeo,Montreal,1970,1977,BG,28
alfa-romeo,Alfa Romeo,Spider,1970,2010,BG,28
alfa-romeo,Alfa Romeo,Sprint,1976,1989,BG,28
alfa-romeo,Alfa Romeo,Stelvio,2017,,BG,28
alfa-romeo,Alfa Romeo,Stelvio Quadrifoglio,2017,2023,BG,28
alfa-romeo,Alfa Romeo,Tonale,2022,,BG,28
alpine,Alpine,A110,1962,,GLOBAL,999
alpine,Alpine,A110S,2019,,GLOBAL,999
alpine,Alpine,A290,2024,,GLOBAL,999
alpine,Alpine,A390,2025,,GLOBAL,999
arcfox,Arcfox,Alpha S,2024,,GLOBAL,999
arcfox,Arcfox,Alpha T,2024,,GLOBAL,999
ariel,Ariel,Atom,1999,2013,GLOBAL,999
ariel,Ariel,Nomad,2015,2024,GLOBAL,999
aro,Aro,10 Series,1980,2004,GLOBAL,999
aro,Aro,24 Series,1972,2006,GLOBAL,999
aro,Aro,M Series,1959,1975,GLOBAL,999
artega,Artega,GT,2010,2012,GLOBAL,999
artega,Artega,Scalo,2015,2017,GLOBAL,999
aston-martin,Aston Martin,Cygnet,2011,2013,GLOBAL,999
aston-martin,Aston Martin,DB AR1,2003,2004,GLOBAL,999
aston-martin,Aston Martin,DB11,2016,2023,GLOBAL,999
aston-martin,Aston Martin,DB11 Volante,2018,2023,GLOBAL,999
aston-martin,Aston Martin,DB12,2023,,GLOBAL,999
aston-martin,Aston Martin,DB12 Volante,2023,,GLOBAL,999
aston-martin,Aston Martin,DB6,1965,1970,GLOBAL,999
aston-martin,Aston Martin,DB6 Volante,1965,1970,GLOBAL,999
aston-martin,Aston Martin,DB7,1993,2004,GLOBAL,999
aston-martin,Aston Martin,DB7 Volante,1996,2003,GLOBAL,999
aston-martin,Aston Martin,DB9,2004,2016,GLOBAL,999
aston-martin,Aston Martin,DB9 Volante,2004,2015,GLOBAL,999
aston-martin,Aston Martin,DBS,1967,,GLOBAL,999
aston-martin,Aston Martin,DBS Volante,2009,2012,GLOBAL,999
aston-martin,Aston Martin,DBX,2020,,GLOBAL,999
aston-martin,Aston Martin,Lagonda,1976,1989,GLOBAL,999
aston-martin,Aston Martin,One-77,2009,2012,GLOBAL,999
aston-martin,Aston Martin,Rapide,2010,2013,GLOBAL,999
aston-martin,Aston Martin,Rapide AMR,2017,2020,GLOBAL,999
aston-martin,Aston Martin,Rapide E,2019,2019,GLOBAL,999
aston-martin,Aston Martin,Rapide S,2013,2018,GLOBAL,999
aston-martin,Aston Martin,V12 Speedster,2020,2022,GLOBAL,999
aston-martin,Aston Martin,V12 Vantage,2009,,GLOBAL,999
aston-martin,Aston Martin,V12 Vantage AMR,2017,2019,GLOBAL,999
aston-martin,Aston Martin,V12 Vantage S,2014,2018,GLOBAL,999
aston-martin,Aston Martin,V12 Zagato,2012,2013,GLOBAL,999
aston-martin,Aston Martin,V8 Vantage,1973,,GLOBAL,999
aston-martin,Aston Martin,V8 Vantage S,2011,2017,GLOBAL,999
aston-martin,Aston Martin,V8 Volante,1978,2014,GLOBAL,999
aston-martin,Aston Martin,Valhalla,2022,,GLOBAL,999
aston-martin,Aston Martin,Vanquish,2001,,GLOBAL,999
aston-martin,Aston Martin,Vanquish S,2004,2018,GLOBAL,999
aston-martin,Aston Martin,Vanquish Volante,2013,,GLOBAL,999
aston-martin,Aston Martin,Vantage,2020,,GLOBAL,999
aston-martin,Aston Martin,Vantage GT12,2015,2016,GLOBAL,999
aston-martin,Aston Martin,Vantage GT8,2016,2017,GLOBAL,999
aston-martin,Aston Martin,Virage,1988,2012,GLOBAL,999
aston-martin,Aston Martin,Virage Volante,1992,2012,GLOBAL,999
aston-martin,Aston Martin,Vulcan,2015,2016,GLOBAL,999
audi,Audi,100,1969,1976,BG,3
audi,Audi,100/ 200,1968,1994,BG,3
audi,Audi,100/ 200 Avant,1983,1994,BG,3
audi,Audi,80 Avant RS2,1994,1996,BG,3
audi,Audi,80 Avant S2,1993,1995,BG,3
audi,Audi,80 S2,1993,1995,BG,3
audi,Audi,80/ 90,1984,1995,BG,3
